,City,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
0,Busselton,-33.64,115.35,45.0,58,100,11.18
1,Mahebourg,-20.41,57.7,69.8,88,75,3.36
2,Mataura,-46.19,168.86,43.0,88,77,1.99
3,Tura,64.27,100.22,53.95,71,75,3.27
4,Harindanga,22.04,88.32,80.6,94,75,6.93
5,Pevek,69.7,170.27,41.89,79,58,2.21
6,Rikitea,-23.12,-134.97,70.33,68,80,20.96
7,Castro,-42.48,-73.76,51.8,76,75,12.75
8,Aksarka,66.56,67.8,44.77,70,100,19.6
9,San Cristobal,14.68,-86.92,87.97,36,29,9.1
10,Barrow,-38.31,-60.23,64.03,50,100,15.48
11,Leningradskiy,69.38,178.42,41.35,87,41,6.49
12,Punta Arenas,-53.16,-70.91,46.4,75,75,10.29
13,Naliya,23.26,68.83,81.85,73,68,12.3
14,Codrington,-28.95,153.24,46.4,93,75,3.36
15,Stephenville,48.55,-58.59,62.6,59,40,14.99
16,Nikolskoye,59.7,30.79,60.01,82,20,8.95
17,Hithadhoo,-0.6,73.08,83.29,68,100,8.72
18,Darnah,32.77,22.64,78.43,83,0,13.31
19,Sola,-3.17,33.8,72.85,53,98,2.51
20,Conceicao do Araguaia,-8.26,-49.26,101.11,16,31,6.17
21,Avarua,-21.21,-159.78,75.2,83,47,8.05
22,Atuona,-9.8,-139.03,78.43,74,53,13.98
23,Tomatlan,19.93,-105.25,84.37,71,99,6.76
24,Georgetown,6.8,-58.16,86.0,70,20,13.87
25,Bredasdorp,-34.53,20.04,55.99,87,0,2.24
26,Sitka,37.17,-99.65,81.0,64,69,15.99
27,Yellowknife,62.45,-114.38,57.0,81,75,8.05
28,Dikson,73.51,80.55,41.17,97,83,12.71
29,Warkworth,-36.4,174.66,54.0,87,100,13.87
30,East London,-33.02,27.91,71.6,40,0,6.93
31,Jamestown,-33.21,138.6,38.29,95,0,5.06
32,Victoria,5.28,115.24,80.6,83,75,8.05
33,Lolodorf,3.23,10.73,69.61,98,99,1.39
34,Akranes,64.32,-22.07,55.99,76,40,6.93
35,Flinders,-34.58,150.85,59.0,52,0,4.7
36,Siyabuswa,-25.11,29.06,58.81,14,0,8.43
37,Saint George,39.45,22.34,86.0,50,0,3.85
38,Tasiilaq,65.61,-37.64,46.4,65,20,6.93
39,Hobart,-42.88,147.33,44.6,52,40,9.17
40,Ziro,27.54,93.82,59.35,91,58,3.04
41,Limoeiro do Ajuru,-1.9,-49.38,93.01,42,59,4.47
42,Moerai,-22.43,-151.33,70.33,62,75,10.65
43,Kapaa,22.08,-159.32,87.8,70,75,11.41
44,Ixtapa,20.71,-105.21,91.4,63,40,9.17
45,Tuktoyaktuk,69.44,-133.03,39.2,93,90,17.22
46,Vaini,15.34,74.49,76.27,91,93,3.65
47,Kodiak,39.95,-94.76,78.01,61,75,14.99
48,Severo-Kurilsk,50.68,156.12,47.65,92,100,25.12
49,Naze,5.43,7.07,73.21,94,100,5.5
50,Bojnurd,37.47,57.33,64.4,22,0,2.24
51,Hobyo,5.35,48.53,77.35,76,84,26.19
52,Muzhi,65.4,64.7,48.01,87,100,9.93
53,Ushuaia,-54.81,-68.31,48.2,66,75,12.75
54,Albany,42.65,-73.75,75.0,49,40,11.41
55,Bandiagara,14.35,-3.61,96.8,50,40,9.17
56,Namatanai,-3.66,152.44,77.71,87,100,11.9
57,Khatanga,71.98,102.47,50.35,93,69,7.81
58,Bethel,60.79,-161.76,53.6,81,90,5.82
59,Tiksi,71.64,128.87,48.19,96,100,2.98
60,Harper,30.3,-99.24,93.0,55,1,4.7
61,Rajshahi,24.37,88.59,79.69,88,89,8.52
62,Cherskiy,68.75,161.3,53.77,50,37,5.06
63,Mugur-Aksy,50.38,90.44,30.73,87,40,4.43
64,Port Alfred,-33.59,26.89,64.0,78,0,3.0
65,Livani,56.35,26.18,59.35,73,8,3.8
66,Jinchang,38.52,102.19,63.31,52,48,5.26
67,Port Elizabeth,39.31,-74.98,80.01,39,90,9.17
68,New Norfolk,-42.78,147.06,44.6,52,40,9.17
69,Ovada,44.64,8.65,84.0,69,0,1.12
70,Haines Junction,60.75,-137.51,40.27,94,100,4.21
71,Provideniya,64.42,-173.23,48.55,67,6,3.0
72,Yar-Sale,66.83,70.83,48.01,69,100,20.69
73,Kaitangata,-46.28,169.85,44.01,66,55,4.0
74,Teofilo Otoni,-17.86,-41.51,78.07,52,85,5.23
